Deaths,CreationDate,Name
1,2020-03-29,Mali
2,2020-03-30,Mali
2,2020-03-31,Mali
3,2020-04-01,Mali
3,2020-04-02,Mali
3,2020-04-03,Mali
3,2020-04-04,Mali
5,2020-04-05,Mali
5,2020-04-06,Mali
5,2020-04-07,Mali
7,2020-04-08,Mali
7,2020-04-09,Mali
7,2020-04-10,Mali
7,2020-04-11,Mali
9,2020-04-12,Mali
10,2020-04-13,Mali
13,2020-04-14,Mali
13,2020-04-15,Mali
13,2020-04-16,Mali
13,2020-04-17,Mali
13,2020-04-18,Mali
14,2020-04-19,Mali
14,2020-04-20,Mali
14,2020-04-21,Mali
17,2020-04-22,Mali
21,2020-04-23,Mali
21,2020-04-24,Mali
21,2020-04-25,Mali
23,2020-04-26,Mali
23,2020-04-27,Mali
24,2020-04-28,Mali
25,2020-04-29,Mali
26,2020-04-30,Mali
26,2020-05-01,Mali
26,2020-05-02,Mali
27,2020-05-03,Mali
29,2020-05-04,Mali
32,2020-05-05,Mali
32,2020-05-06,Mali
32,2020-05-07,Mali
35,2020-05-08,Mali
37,2020-05-09,Mali
38,2020-05-10,Mali
39,2020-05-11,Mali
40,2020-05-12,Mali
44,2020-05-13,Mali
46,2020-05-14,Mali
46,2020-05-15,Mali
48,2020-05-16,Mali
52,2020-05-17,Mali
52,2020-05-18,Mali
53,2020-05-19,Mali
55,2020-05-20,Mali
60,2020-05-21,Mali
62,2020-05-22,Mali
63,2020-05-23,Mali
65,2020-05-24,Mali
67,2020-05-25,Mali
70,2020-05-26,Mali
70,2020-05-27,Mali
72,2020-05-28,Mali
73,2020-05-29,Mali
76,2020-05-30,Mali
77,2020-05-31,Mali
78,2020-06-01,Mali
78,2020-06-02,Mali
79,2020-06-03,Mali
85,2020-06-04,Mali
87,2020-06-05,Mali
90,2020-06-06,Mali
90,2020-06-07,Mali
92,2020-06-08,Mali
94,2020-06-09,Mali
96,2020-06-10,Mali
97,2020-06-11,Mali
101,2020-06-12,Mali
104,2020-06-13,Mali
104,2020-06-14,Mali
104,2020-06-15,Mali
104,2020-06-16,Mali
107,2020-06-17,Mali
107,2020-06-18,Mali
108,2020-06-19,Mali
109,2020-06-20,Mali
109,2020-06-21,Mali
111,2020-06-22,Mali
111,2020-06-23,Mali
112,2020-06-24,Mali
113,2020-06-25,Mali
113,2020-06-26,Mali
113,2020-06-27,Mali
114,2020-06-28,Mali
115,2020-06-29,Mali
116,2020-06-30,Mali
116,2020-07-01,Mali
117,2020-07-02,Mali
117,2020-07-03,Mali
118,2020-07-04,Mali
119,2020-07-05,Mali
119,2020-07-06,Mali
119,2020-07-07,Mali
120,2020-07-08,Mali
120,2020-07-09,Mali
121,2020-07-10,Mali
121,2020-07-11,Mali
121,2020-07-12,Mali
121,2020-07-13,Mali
121,2020-07-14,Mali
121,2020-07-15,Mali
121,2020-07-16,Mali
121,2020-07-17,Mali
121,2020-07-18,Mali
121,2020-07-19,Mali
121,2020-07-20,Mali
122,2020-07-21,Mali
123,2020-07-22,Mali
123,2020-07-23,Mali
123,2020-07-24,Mali
123,2020-07-25,Mali
123,2020-07-26,Mali
124,2020-07-27,Mali
124,2020-07-28,Mali
124,2020-07-29,Mali
124,2020-07-30,Mali
124,2020-07-31,Mali
124,2020-08-01,Mali
124,2020-08-02,Mali
124,2020-08-03,Mali
124,2020-08-04,Mali
124,2020-08-05,Mali
124,2020-08-06,Mali
125,2020-08-07,Mali
125,2020-08-08,Mali
125,2020-08-09,Mali
125,2020-08-10,Mali
125,2020-08-11,Mali
125,2020-08-12,Mali
125,2020-08-13,Mali
125,2020-08-14,Mali
125,2020-08-15,Mali
125,2020-08-16,Mali
125,2020-08-17,Mali
125,2020-08-18,Mali
125,2020-08-19,Mali
125,2020-08-20,Mali
125,2020-08-21,Mali
125,2020-08-22,Mali
125,2020-08-23,Mali
125,2020-08-24,Mali
125,2020-08-25,Mali
126,2020-08-26,Mali
126,2020-08-27,Mali
126,2020-08-28,Mali
126,2020-08-29,Mali
126,2020-08-30,Mali
126,2020-08-31,Mali
126,2020-09-01,Mali
126,2020-09-02,Mali
126,2020-09-03,Mali
126,2020-09-04,Mali
126,2020-09-05,Mali
127,2020-09-06,Mali
127,2020-09-07,Mali
127,2020-09-08,Mali
128,2020-09-09,Mali
128,2020-09-10,Mali
128,2020-09-11,Mali
128,2020-09-12,Mali
128,2020-09-13,Mali
128,2020-09-14,Mali
128,2020-09-15,Mali
128,2020-09-16,Mali
128,2020-09-17,Mali
128,2020-09-18,Mali
128,2020-09-19,Mali
128,2020-09-20,Mali
128,2020-09-21,Mali
129,2020-09-22,Mali
130,2020-09-23,Mali
130,2020-09-24,Mali
130,2020-09-25,Mali
130,2020-09-26,Mali
130,2020-09-27,Mali
130,2020-09-28,Mali
131,2020-09-29,Mali
131,2020-09-30,Mali
131,2020-10-01,Mali
131,2020-10-02,Mali
131,2020-10-03,Mali
131,2020-10-04,Mali
131,2020-10-05,Mali
131,2020-10-06,Mali
131,2020-10-07,Mali
131,2020-10-08,Mali
131,2020-10-09,Mali
132,2020-10-10,Mali
132,2020-10-11,Mali
132,2020-10-12,Mali
132,2020-10-13,Mali
132,2020-10-14,Mali
132,2020-10-15,Mali
132,2020-10-16,Mali
132,2020-10-17,Mali
132,2020-10-18,Mali
132,2020-10-19,Mali
132,2020-10-20,Mali
132,2020-10-21,Mali
132,2020-10-22,Mali
132,2020-10-23,Mali
132,2020-10-24,Mali
132,2020-10-25,Mali
133,2020-10-26,Mali
136,2020-10-27,Mali
136,2020-10-28,Mali
136,2020-10-29,Mali
136,2020-10-30,Mali
136,2020-10-31,Mali
136,2020-11-01,Mali
136,2020-11-02,Mali
136,2020-11-03,Mali
137,2020-11-04,Mali
137,2020-11-05,Mali
137,2020-11-06,Mali
137,2020-11-07,Mali
137,2020-11-08,Mali
137,2020-11-09,Mali
137,2020-11-10,Mali
138,2020-11-11,Mali
138,2020-11-12,Mali
139,2020-11-13,Mali
139,2020-11-14,Mali
141,2020-11-15,Mali
141,2020-11-16,Mali
141,2020-11-17,Mali
141,2020-11-18,Mali
142,2020-11-19,Mali
143,2020-11-20,Mali
143,2020-11-21,Mali
145,2020-11-22,Mali
146,2020-11-23,Mali
148,2020-11-24,Mali
148,2020-11-25,Mali
148,2020-11-26,Mali
149,2020-11-27,Mali
149,2020-11-28,Mali
152,2020-11-29,Mali
156,2020-11-30,Mali
160,2020-12-01,Mali
161,2020-12-02,Mali
162,2020-12-03,Mali
163,2020-12-04,Mali
163,2020-12-05,Mali
164,2020-12-06,Mali
175,2020-12-07,Mali
180,2020-12-08,Mali
181,2020-12-09,Mali
184,2020-12-10,Mali
185,2020-12-11,Mali
189,2020-12-12,Mali
194,2020-12-13,Mali
201,2020-12-14,Mali
205,2020-12-15,Mali
209,2020-12-16,Mali
211,2020-12-17,Mali
215,2020-12-18,Mali
220,2020-12-19,Mali
222,2020-12-20,Mali
225,2020-12-21,Mali
225,2020-12-22,Mali
229,2020-12-23,Mali
235,2020-12-24,Mali
245,2020-12-25,Mali
249,2020-12-26,Mali
253,2020-12-27,Mali
256,2020-12-28,Mali
262,2020-12-29,Mali
269,2020-12-30,Mali
269,2020-12-31,Mali
271,2021-01-01,Mali
276,2021-01-02,Mali
278,2021-01-03,Mali
279,2021-01-04,Mali
284,2021-01-05,Mali
285,2021-01-06,Mali
286,2021-01-07,Mali
290,2021-01-08,Mali
295,2021-01-09,Mali
298,2021-01-10,Mali
299,2021-01-11,Mali
303,2021-01-12,Mali
303,2021-01-13,Mali
305,2021-01-14,Mali
308,2021-01-15,Mali
308,2021-01-16,Mali
310,2021-01-17,Mali
311,2021-01-18,Mali
317,2021-01-19,Mali
318,2021-01-20,Mali
320,2021-01-21,Mali
321,2021-01-22,Mali
323,2021-01-23,Mali
323,2021-01-24,Mali
324,2021-01-25,Mali
327,2021-01-26,Mali
327,2021-01-27,Mali
328,2021-01-28,Mali
329,2021-01-29,Mali
330,2021-01-30,Mali
330,2021-01-31,Mali
330,2021-02-01,Mali
333,2021-02-02,Mali
333,2021-02-03,Mali
333,2021-02-04,Mali
336,2021-02-05,Mali
338,2021-02-06,Mali
338,2021-02-07,Mali
339,2021-02-08,Mali
339,2021-02-09,Mali
339,2021-02-10,Mali
340,2021-02-11,Mali
340,2021-02-12,Mali
342,2021-02-13,Mali
342,2021-02-14,Mali
342,2021-02-15,Mali
342,2021-02-16,Mali
342,2021-02-17,Mali
342,2021-02-18,Mali
344,2021-02-19,Mali
347,2021-02-20,Mali
348,2021-02-21,Mali
348,2021-02-22,Mali
348,2021-02-23,Mali
348,2021-02-24,Mali
349,2021-02-25,Mali
350,2021-02-26,Mali
352,2021-02-27,Mali
353,2021-02-28,Mali
355,2021-03-01,Mali
355,2021-03-02,Mali
357,2021-03-03,Mali
357,2021-03-04,Mali
358,2021-03-05,Mali
358,2021-03-06,Mali
358,2021-03-07,Mali
358,2021-03-08,Mali
358,2021-03-09,Mali
358,2021-03-10,Mali
359,2021-03-11,Mali
360,2021-03-12,Mali
360,2021-03-13,Mali
360,2021-03-14,Mali
363,2021-03-15,Mali
364,2021-03-16,Mali
365,2021-03-17,Mali
366,2021-03-18,Mali
367,2021-03-19,Mali
367,2021-03-20,Mali
368,2021-03-21,Mali
371,2021-03-22,Mali
372,2021-03-23,Mali
372,2021-03-24,Mali
375,2021-03-25,Mali
376,2021-03-26,Mali
376,2021-03-27,Mali
379,2021-03-28,Mali
384,2021-03-29,Mali
384,2021-03-30,Mali
385,2021-03-31,Mali
386,2021-04-01,Mali
390,2021-04-02,Mali
391,2021-04-03,Mali
392,2021-04-04,Mali
393,2021-04-05,Mali
396,2021-04-06,Mali
400,2021-04-07,Mali
402,2021-04-08,Mali
404,2021-04-09,Mali
405,2021-04-10,Mali
408,2021-04-11,Mali
414,2021-04-12,Mali
417,2021-04-13,Mali
419,2021-04-14,Mali
421,2021-04-15,Mali
426,2021-04-16,Mali
429,2021-04-17,Mali
433,2021-04-18,Mali
441,2021-04-19,Mali
444,2021-04-20,Mali
451,2021-04-21,Mali
456,2021-04-22,Mali
460,2021-04-23,Mali
462,2021-04-24,Mali
467,2021-04-25,Mali
474,2021-04-26,Mali
476,2021-04-27,Mali
477,2021-04-28,Mali
481,2021-04-29,Mali
484,2021-04-30,Mali
485,2021-05-01,Mali
489,2021-05-02,Mali
491,2021-05-03,Mali
492,2021-05-04,Mali
493,2021-05-05,Mali
493,2021-05-06,Mali
497,2021-05-07,Mali
499,2021-05-08,Mali
500,2021-05-09,Mali
502,2021-05-10,Mali
506,2021-05-11,Mali
507,2021-05-12,Mali
508,2021-05-13,Mali
510,2021-05-14,Mali
511,2021-05-15,Mali
511,2021-05-16,Mali
512,2021-05-20,Mali
512,2021-05-21,Mali
513,2021-05-22,Mali
514,2021-05-23,Mali
514,2021-05-24,Mali
514,2021-05-25,Mali
