Deaths,CreationDate,Name
1,2020-03-24,Saudi Arabia
2,2020-03-25,Saudi Arabia
3,2020-03-26,Saudi Arabia
3,2020-03-27,Saudi Arabia
4,2020-03-28,Saudi Arabia
8,2020-03-29,Saudi Arabia
8,2020-03-30,Saudi Arabia
10,2020-03-31,Saudi Arabia
16,2020-04-01,Saudi Arabia
21,2020-04-02,Saudi Arabia
25,2020-04-03,Saudi Arabia
29,2020-04-04,Saudi Arabia
34,2020-04-05,Saudi Arabia
38,2020-04-06,Saudi Arabia
41,2020-04-07,Saudi Arabia
41,2020-04-08,Saudi Arabia
44,2020-04-09,Saudi Arabia
47,2020-04-10,Saudi Arabia
52,2020-04-11,Saudi Arabia
59,2020-04-12,Saudi Arabia
65,2020-04-13,Saudi Arabia
73,2020-04-14,Saudi Arabia
79,2020-04-15,Saudi Arabia
83,2020-04-16,Saudi Arabia
87,2020-04-17,Saudi Arabia
92,2020-04-18,Saudi Arabia
97,2020-04-19,Saudi Arabia
103,2020-04-20,Saudi Arabia
109,2020-04-21,Saudi Arabia
114,2020-04-22,Saudi Arabia
121,2020-04-23,Saudi Arabia
127,2020-04-24,Saudi Arabia
136,2020-04-25,Saudi Arabia
139,2020-04-26,Saudi Arabia
144,2020-04-27,Saudi Arabia
152,2020-04-28,Saudi Arabia
157,2020-04-29,Saudi Arabia
162,2020-04-30,Saudi Arabia
169,2020-05-01,Saudi Arabia
176,2020-05-02,Saudi Arabia
184,2020-05-03,Saudi Arabia
191,2020-05-04,Saudi Arabia
200,2020-05-05,Saudi Arabia
209,2020-05-06,Saudi Arabia
219,2020-05-07,Saudi Arabia
229,2020-05-08,Saudi Arabia
239,2020-05-09,Saudi Arabia
246,2020-05-10,Saudi Arabia
255,2020-05-11,Saudi Arabia
264,2020-05-12,Saudi Arabia
273,2020-05-13,Saudi Arabia
283,2020-05-14,Saudi Arabia
292,2020-05-15,Saudi Arabia
302,2020-05-16,Saudi Arabia
312,2020-05-17,Saudi Arabia
320,2020-05-18,Saudi Arabia
329,2020-05-19,Saudi Arabia
339,2020-05-20,Saudi Arabia
351,2020-05-21,Saudi Arabia
364,2020-05-22,Saudi Arabia
379,2020-05-23,Saudi Arabia
390,2020-05-24,Saudi Arabia
